Date,General,Consumer_goods,Intermediate
jan/02,72.4 ,70.9,77.2
fev/02,69.7 ,67.4,74.8
mar/02,77.4 ,73.9,83.3
abr/02,79.6 ,77.6,84.3
mai/02,80.4 ,76.4,87
jun/02,77.5 ,71.9,85.3
jul/02,83.3 ,79.9,89.7
ago/02,83.6 ,82.6,89.1
set/02,82.1 ,81.7,86.9
out/02,89.2 ,92.6,91.8
nov/02,83.9 ,86.9,86.5
dez/02,74.6 ,75.2,78.4
jan/03,74.0 ,70.6,80.4
fev/03,71.8 ,68.1,77.6
mar/03,77.4 ,69.5,87.1
abr/03,76.5 ,70.6,84.5
mai/03,79.7 ,73.8,87.9
jun/03,76.3 ,70.2,84.5
jul/03,81.3 ,75.7,89.2
ago/03,81.6 ,77.2,88.9
set/03,85.7 ,83.2,91.4
out/03,90.0 ,89.5,94
nov/03,84.6 ,85.2,86.8
dez/03,77.9 ,77.4,81.5
jan/04,76.8 ,72.6,82.9
fev/04,74.0 ,67.6,81
mar/04,86.9 ,80.8,93.3
abr/04,82.2 ,75.6,89.1
mai/04,86.3 ,78.4,94
jun/04,86.1 ,79.0,93.3
jul/04,90.1 ,82.4,98
ago/04,92.1 ,87.0,98.4
set/04,92.1 ,90.1,96.9
out/04,93.5 ,91.4,98.3
nov/04,91.8 ,93.7,93.6
dez/04,84.7 ,85.8,87
jan/05,81.0 ,78.7,85.9
fev/05,76.4 ,73.4,81.3
mar/05,88.0 ,84.7,92.6
abr/05,87.0 ,84.3,91.8
mai/05,91.1 ,87.1,96.5
jun/05,91.4 ,87.6,96.3
jul/05,90.5 ,87.1,96.4
ago/05,95.6 ,94.8,99.3
set/05,92.0 ,90.2,95.8
out/05,93.7 ,93.2,97.4
nov/05,92.4 ,95.5,93.2
dez/05,86.6 ,90.0,87.2
jan/06,83.7 ,82.1,88
fev/06,80.2 ,79.9,83.1
mar/06,92.4 ,91.4,95.2
abr/06,85.7 ,83.2,90.3
mai/06,95.4 ,92.7,99.9
jun/06,91.1 ,88.5,95.6
jul/06,93.8 ,90.0,99.3
ago/06,98.6 ,97.5,102
set/06,93.2 ,93.5,96
out/06,97.5 ,100.3,98.5
nov/06,95.9 ,99.7,95.6
dez/06,87.0 ,88.1,88.1
jan/07,87.0 ,84.3,90.5
fev/07,82.6 ,80.1,85.6
mar/07,96.4 ,93.6,99.3
abr/07,90.6 ,87.0,94.7
mai/07,99.9 ,97.2,102.5
jun/07,96.9 ,94.1,100.2
jul/07,99.8 ,96.2,103.6
ago/07,104.9 ,104.2,105.9
set/07,98.4 ,98.3,99.1
out/07,107.8 ,110.1,106.9
nov/07,102.4 ,106.5,99.7
dez/07,92.6 ,91.5,93.8
jan/08,94.8 ,92.0,97.4
fev/08,91.1 ,85.0,94.4
mar/08,97.7 ,93.0,99.9
abr/08,99.2 ,96.0,100.1
mai/08,102.5 ,98.5,105
jun/08,103.3 ,98.2,105.3
jul/08,108.5 ,102.3,111.3
ago/08,106.9 ,103.7,107.6
set/08,107.3 ,106.9,105.2
out/08,108.4 ,110.3,104.1
nov/08,96.2 ,97.9,92.5
dez/08,79.1 ,81.2,77.6
jan/09,78.7 ,78.5,78.7
fev/09,76.1 ,77.3,75.8
mar/09,88.6 ,91.3,87.8
